Reading PCAP data...

Generated CSV file from ../demo-muteeb.pcap...

Merged common columns in dataset...

Dataset preprocess completed...

Accuracy...

Logistic_Regression_Model           6.77%
Naive_Bayes                         32.28%
Gradient_Boosting_Classifier_Model  56.73%
Decision_Tree_Classifier_Model      71.9%
K_Neighbors_Classifier_Model        23.24%
Random_Forest_Classifier_Model      77.77%

Prediction...

Packet Time                  Logistic_Regression          Naive_Bayes                  Gradient_Boosting_Classifier Decision_Tree_Classifier     K_Neighbors_Classifier       Random_Forest_Classifier     Actual Packet Protocol      
113-1645977863.168231        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
114-1645977863.168231        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
115-1645977863.168232        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
116-1645977863.168232        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
117-1645977863.168232        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
118-1645977863.168232        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
119-1645977863.168233        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
120-1645977863.168233        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
121-1645977863.170194        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
122-1645977863.170339        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
123-1645977863.170451        quic                         non-quic                     quic                         non-quic                     non-quic                     non-quic                     non-quic                    
124-1645977863.171557        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
125-1645977863.171557        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
126-1645977863.171558        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
127-1645977863.171918        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
128-1645977863.171918        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
129-1645977863.17234         quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
130-1645977863.17234         quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
