frame.encap_type,frame.time_epoch,frame.len,frame.cap_len,eth.src,eth.dst,ip.version,ip.hdr_len,ip.tos,ip.id,ip.flags,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.checksum,ip.src,ip.dst,ip.len,ip.dsfield,tcp.srcport,tcp.dstport,tcp.hdr_len,tcp.checksum,udp.srcport,udp.dstport,udp.length,udp.checksum,quic
1,1644570364.382536000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8951,0x40,0,1,0,0,56,17,0x80b6,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0xa911,quic
1,1644570364.382537000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8952,0x40,0,1,0,0,56,17,0x80b5,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0x26b0,quic
1,1644570364.382718000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8953,0x40,0,1,0,0,56,17,0x80b4,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0x0285,quic
1,1644570364.382719000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8954,0x40,0,1,0,0,56,17,0x80b3,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0x5576,quic
1,1644570364.382719000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8955,0x40,0,1,0,0,56,17,0x80b2,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0x70ee,quic
1,1644570364.382861000,721,721,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8956,0x40,0,1,0,0,56,17,0x82ba,104.26.10.240,192.168.0.103,707,0x00,,,,,443,54983,687,0x805c,quic
1,1644570364.382862000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x895a,0x40,0,1,0,0,56,17,0x80ad,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0x8b22,quic
1,1644570364.382862000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x895b,0x40,0,1,0,0,56,17,0x80ac,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0xae3c,quic
1,1644570364.383006000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x895c,0x40,0,1,0,0,56,17,0x80ab,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0x4605,quic
1,1644570364.383007000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x895d,0x40,0,1,0,0,56,17,0x80aa,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0x8d48,quic
