frame.encap_type,frame.time_epoch,frame.len,frame.cap_len,eth.src,eth.dst,ip.version,ip.hdr_len,ip.tos,ip.id,ip.flags,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.checksum,ip.src,ip.dst,ip.len,ip.dsfield,srcport,dstport,length,checksum,quic
1,1644570364.415901,519,519,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x89a9,0x40,0,1,0,0,56,17,0x8331,104.26.10.240,192.168.0.103,505,0x00,443,54983,485,0xf7a1,1
1,1644570364.415901,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x89aa,0x40,0,1,0,0,56,17,0x805d,104.26.10.240,192.168.0.103,1228,0x00,443,54983,1208,0x1b57,1
1,1644570364.415902,989,989,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x89ab,0x40,0,1,0,0,56,17,0x8159,104.26.10.240,192.168.0.103,975,0x00,443,54983,955,0x9c07,1
1,1644570364.415902,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x89ad,0x40,0,1,0,0,56,17,0x805a,104.26.10.240,192.168.0.103,1228,0x00,443,54983,1208,0xf096,1
1,1644570364.415903,342,342,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x89ae,0x40,0,1,0,0,56,17,0x83dd,104.26.10.240,192.168.0.103,328,0x00,443,54983,308,0xee48,1
1,1644570364.415903,664,664,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x0000,0x40,0,1,0,0,57,17,0x2ef6,142.250.192.99,192.168.0.103,650,0x00,443,54205,630,0xd68d,1
1,1644570364.415904,68,68,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x0000,0x40,0,1,0,0,57,17,0x314a,142.250.192.99,192.168.0.103,54,0x00,443,54205,34,0x137b,1
1,1644570364.416205,87,87,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0x15bf,0x00,0,0,0,0,64,17,0x30cc,192.168.0.103,104.26.10.240,73,0x00,54983,443,53,0x5fba,1
1,1644570364.419095,1292,1292,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0xb90f,0x00,0,0,0,0,64,17,0xac72,192.168.0.103,142.250.192.99,1278,0x00,54205,443,1258,0xce2c,1
1,1644570364.421455,1292,1292,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x0000,0x40,0,1,0,0,57,17,0x2c82,142.250.192.99,192.168.0.103,1278,0x00,443,54205,1258,0x4420,1
1,1644570364.421456,1288,1288,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x0000,0x40,0,1,0,0,57,17,0x2c86,142.250.192.99,192.168.0.103,1274,0x00,443,54205,1254,0xa485,1
1,1644570364.421707,1292,1292,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x0000,0x40,0,1,0,0,57,17,0x2c82,142.250.192.99,192.168.0.103,1278,0x00,443,54205,1258,0x9e94,1
1,1644570364.421707,1292,1292,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x0000,0x40,0,1,0,0,57,17,0x2c82,142.250.192.99,192.168.0.103,1278,0x00,443,54205,1258,0x3e43,1
1,1644570364.421708,1292,1292,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x0000,0x40,0,1,0,0,57,17,0x2c82,142.250.192.99,192.168.0.103,1278,0x00,443,54205,1258,0xd302,1
1,1644570364.421709,1292,1292,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x0000,0x40,0,1,0,0,57,17,0x2c82,142.250.192.99,192.168.0.103,1278,0x00,443,54205,1258,0x524a,1
